sep=;
 Category;GCP;AWS;Azure
App Modernization;Cloud Build, Anthos, Anthos attached clusters, Anthos on bare metal, Anthos clusters on AWS, Anthos clusters on VMware, Anthos Config Management, Config Connector, Container-Optimized OS, Hybrid Connectivity, SAP on Google Cloud, Anthos Service Mesh, Cloud Router, Istio on Google Kubernetes Engine, Traffic Director;AWS CodeBuild, AWS CodeDeploy, AWS CodePipeline, AWS Outposts, , , , , Chef Automate AWS OpsWorks, AWS Controllers for Kubernetes, , AWS Direct Connect, SAP on AWS, AWS App Mesh, Amazon VPC, Istio on Amazon EKS, AWS App Mesh;Azure DevOps, Github, App Modernization with Microsoft Azure, Azure Arc, Azure Arc, , , , Azure App Configuration, Azure Service Operator, Azure Container Instances, Hybrid Connections, SAP on Azure, Azure Service Fabric, Azure VPN Gateway, Istio in Azure Kubernetes Service, Azure Service Fabric Mesh
Compute;Cloud GPUs, Compute Engine, Compute Engine Autoscaler, OS Login, Persistent Disk, Sole-tenant nodes, Cloud Functions, App Engine, VMware Engine;Amazon Elastic Compute Cloud (EC2) P3, Amazon Elastic Compute Cloud (EC2), AWS Autoscaling, Amazon EC2 Instance Connect, Amazon Elastic Block Store (EBS), Amazon EC2 Dedicated Host, AWS Lambda, AWS Elastic Beanstalk, VMware Cloud on AWS;GPU Optimized VMs, Azure Virtual Machines, Azure Autoscale, Azure Virtual Machine Scale Sets, , Azure Managed Disks, Azure Dedicated Host, Azure Functions Serverless Compute, Azure App Service, Azure VMware Solution
Containers;Google Kubernetes Engine, Artifact Registry, Cloud Run;Amazon Elastic Kubernetes Service (EKS), Amazon Elastic Container Service (ECS), Amazon Elastic Container Registry (ECR), AWS Fargate, AWS Lambda, AWS App Runner;Azure Kubernetes Service (AKS), Azure Container Registry, Azure Container Instances
Data Analytics;Looker, Data Catalog, Cloud Data Fusion, BigQuery, Pub/Sub, Pub/Sub Lite, Dataproc, BigQuery, Pub/Sub, Dataflow, Cloud Composer;Amazon QuickSight, AWS Glue Data Catalog, Amazon AppFlow, Amazon Data Pipeline, AWS Glue, Amazon Athena, Amazon Redshift, Amazon Simple Notification Service (SNS), Amazon Simple Queueing Service (SQS), Amazon Simple Notification Service, Amazon Simple Queueing Service, Amazon Elastic MapReduce (EMR), AWS Batch, AWS Glue, Amazon Redshift Spectrum, Amazon Kinesis, Amazon Kinesis, Amazon Data Pipeline, AWS Glue, Managed Workflows for Apache Air;Microsoft Power BI, Azure Purview, Azure Data Factory, Azure Synapse Analytics, Azure Service Bus Messaging, Azure Service Bus Messaging, Azure Data Lake Analytics, HDInsight, Azure Synapse Analytics, Azure Event Hubs, Azure Stream Analytics, Azure Data Factory
Database;Firestore, Memorystore, Datastore, Cloud Bigtable, Cloud Spanner, Cloud SQL, Bare Metal Solution;Amazon DocumentDB, AWS DynamoDB, AWS AppSync, Amazon ElastiCache, Amazon DynamoDB, Amazon DynamoDB, Amazon Aurora, Amazon Relational Database Service (RDS), Amazon Aurora, Amazon RDS for Oracle;Azure Cosmos DB, Azure Cache, Azure Cosmos DB, Azure Cosmos DB, Azure SQL Database, Azure Database for MySQL and Azure Database for PostgreSQL, Azure Oracle Database Enterprise Edition
Developer Tools;Cloud SDK, Cloud Code for IntelliJ, Cloud Code for VS Code, Cloud Shell, Cloud SDK;AWS SDKs, AWS Toolkit for IntelliJ, AWS Toolkit for Visual Studio Code, AWS CloudShell, AWS CLI;Azure SDKs, Azure Toolkit for IntelliJ, Azure Tools for Visual Studio Code, Azure Cloud Shell, Azure CLI
Enterprise;Marketplace;AWS Marketplace;Azure Marketplace
Internet Of Things (Iot);Cloud IoT;AWS IoT Core;Azure IoT Hub
Machine Learning (Ml);Recommender, Dialogflow, AutoML Tables, AI Platform (Unified), AI Platform (Unified), AI Platform (Unified), AI Platform (Unified), AI Platform Deep Learning VM Image, AI Platform Notebooks, TensorFlow Enterprise, Cloud Natural Language API, Recommendations AI, AutoML Translation, Video Intelligence API, Cloud Vision, Speech-to-Text;AWS Cost Optimization, Amazon Lex, Amazon SageMaker, Amazon SageMaker, Amazon SageMaker, Amazon SageMaker Autopilot, Amazon SageMaker, Amazon SageMaker, Amazon EC2 P3, Amazon SageMaker, Tensorflow on AWS, Amazon Comprehend, Amazon Personalize, Amazon Translate, Amazon Rekognition Video, Amazon Textract, Amazon Transcribe;Azure Advisor, Azure Conversational AI, AutoML in Azure ML Studio, Azure AI Platform, Azure Machine Learning, Azure Cognitive Services, Azure AI Platform, Azure Data Science Virtual Machines, Azure Notebooks, Azure Databricks, Azure Text Analytics, Azure Personalizer, Azure Translator, Azure Video Indexer, Azure Computer Vision, Azure Speech to Text
Management Tools;Apigee API Management, Cost Management, Cloud Deployment Manager;Amazon API Gateway, AWS Budgets, AWS CloudFormation;Azure API Management, Azure Cost Management, Azure Deployment Manager
Migration;Migrate for Anthos, Migrate for Compute Engine, Database Migration Service, Storage Transfer Service, Transfer Appliance;AWS App2Container, AWS Server Migration Service, AWS Database Migration Service, AWS Storage Gateway, AWS Snowball;Azure Migrate, Azure Migrate, Azure Database Migration Service, Azure Migrate, Azure Data Box
